Anos.de.Estudo,Média,Mediana,Desvio Padrão
1 ano,806.52,700.0,1203.87
10 anos,1495.9,1100.0,1817.68
11 anos,1841.67,1350.0,2457.2
12 anos,2185.77,1500.0,3452.73
13 anos,2758.77,2000.0,2638.84
14 anos,3099.84,2100.0,3413.36
15 anos ou mais,5242.44,3500.0,6450.49
2 anos,842.56,788.0,1298.87
3 anos,980.04,788.0,1907.14
4 anos,1150.44,900.0,1293.14
5 anos,1183.58,940.0,1328.71
6 anos,1284.08,1000.0,1326.14
7 anos,1289.17,1000.0,1279.41
8 anos,1437.74,1100.0,1404.28
9 anos,1315.69,1000.0,1888.37
Não determinados,1071.72,900.0,825.58
Sem instrução e menos de um ano,732.99,600.0,955.27
